LSR_GOODS_CD,LSR_GOODS_NM,FCLTY_TEL_NO
1021,[전북 전주] 한복길 한복대여,010-9255-1739
1036,[서울 노원] 이창현 노원클라이밍센터,02-935-0515
1090,[서울 상암] 코알라 클라이밍,070-7733-4768
1091,[서울 종로] 경복궁 한복대여 한복남,010-6485-8507
1116,[경기 일산] 원마운트 아이봇,031-961-6424
1117,"[서울 여의도] 여의나루 아이봇, 전동킥보드",070-7746-3705
6669,[전남 여수] 카트 체험장,061-644-9500
11096,[서울 홍대] 반지카페 : 반지만들기 체험,02-337-6463
11439,[전남 여수] 국가대표 패러글라이딩,010-6540-6541
11455,[서울 종로] MES 방탈출카페,070-8612-6654
11493,[서울 관악] 우쿨렐레 원데이 클래스,010-8200-5380
11516,[충북 단양]패러마을 패러글라이딩,010-9031-3326
11528,[서울 동대문] 한복 웨딩카페,070-7569-0652
11542,[강원 강릉] 환희 컵 : 이색박물관,033-661-3413
11651,[강원 평창] 조나단 패러글라이딩,033-333-2625
11837,[경기 용인] 스카이패러글라이딩,010-9581-2626
11845,마린파크 돌핀 스위밍,064-792-7777
11846,마린파크 조련사 체험,064-792-7777
11867,점보빌리지 코끼리 트래킹 체험,064-792-1233
12700,[서울 상왕십리] 그 아저씨 도예공방 : 핸드페인팅 & 핸드빌딩,070-4184-3461<
12834,[강촌/가평] 레저클럽 ATV/카트/스쿠터/수상레저 패키지,010-5683-3731
12909,[서울 종로] 한복남 셀프스튜디오,010-6485-8507
12936,부산대학교 전동휠 대여,010-2374-6967
12962,[서울 여의도] 한강 전동 퀵보드/다타코리아 대여,02-6124-4121
12975,[전북 부안] 원숭이학교 & 자연사박물관,063-584-0708
13003,[전북 전주] 프리미엄 동물카페 우쮸쮸,070-7746-7578
13009,[제주 중문] 다이나믹 메이즈 EP3 입장권,064-787-877
13395,[서울 홍대] 심신프리카페 : 마사지,070-5118-5357
13400,[경기 화성] 애니랜드 : 조류 & 체험동물원,
13497,[평창] 용평리조트 스키패스 시즌권,02-6925-3193
13507,[경기 김포] 김포 곤충농장,031-985-9602
13936,[충남 대천] 짚트랙,041-934-3003
13940,[충남 공주] 이안 숲속 사계절 레일썰매,041-855-2008
13957,[인천 남동] 그레이트피그미풀 키즈파크,032-227-011
15027,[경북 경주] 한복대여 입고놀자,054-777-2954
18851,스카이 패러글라이딩,1522-2126
18909,[서울 강남] 피규어뮤지엄 W,02-512-8865
19407,[경기 양평] 추억의 청춘뮤지엄,031-775-8907
19541,[경북 경산] 경산 스파월드 : 사우나 & 찜질방,-
19589,[서울 목동] 목동 종합사격장,02-2646-9993
19595,[서울 송파] 송파 사격장,02-6287-0070
19598,[대전 동구] 그레이트피그미풀 : 대전복합터미널점,042-637-0111
19722,[전북] 전북투어패스,1599-8732
19733,[서울 마포] 팝아트 : 초상화체험 풍뎅이의숲,010-7428-4600
19760,숯불애 짜투리고기 식사권,064-773-0588
19761,[제주 애월] 파파월드,064-760-9800
19762,허브동산 야간권,064-787-7362
19767,[제주 제주시] RPB 패러글라이딩,010-6211-8686
19912,[강원 인제] 엑스게임 리조트 번지점프 이용권,033-461-5216
19916,돌핀비바제트,064-738-2888
19918,송악산 전기자전거 & 왕발통,
19920,쇠소깍 제트보트,064-733-0252
19924,제주바다체험장,064-784-5757
19936,멍에승마장 & ATV,064-784-3631
19937,서광승마장,064-794-5220
19938,제주제트 올레크루즈,1877-5770
19939,조랑말타운,064-787-8008
19952,[전북 전주] 전주 한옥마을패스권,1599-8732
20057,[전북 전주] 한옥마을패스권 + 상의원 고급한복대여 3시간 이용권,1599-8732
20066,[강원 인제] 인제 ATV,033-461-5216
20077,건강과성박물관,064-792-5700
20078,공룡휴게소박물관,064-784-8338
20079,국궁 활쏘기체험,064-799-7720
20080,김녕미로공원,064-782-9266
20081,돌문화공원,064-710-7731
20082,레포츠랜드,064-784-8800
20083,마라도가는 여객선 : 송악산항,064-794-6661
20084,별빛누리공원,064-728-8900
20086,일출랜드,064-784-2080
20087,[경기 안양] 러브낚시카페 안양점,010-7653-7060
20094,넥슨컴퓨터박물관,064-782-7720
20095,미니랜드,064-782-7720
20096,번개 과학 체험관,064-733-3500
20097,본태박물관,064-792-8108
20098,[제주 서귀포] 상효원 : 제주 자생식물 테마 정원,064-733-2200
20099,세계 조가비 박물관,064-762-5551
20100,아프리카 박물관,064-738-6565
20101,유리의 성 마법의 숲,064-772-7777
20102,제주불빛축제,064-799-6996
20103,제주실탄사격,064-739-7007
20119,한울랜드,064-783-5788
20120,허브동산 주간권,064-787-7362
20143,[서울 홍대] 트릭아이 뮤지엄 패키지,02-3144-6300
20172,OK승마장,064-787-3066
20174,노리매 테마공원,064-792-8211
20178,로봇스퀘어,064-783-0825
20179,마라도 정기여객선,064-794-3500
20184,방림원,064-773-0090
20185,석부작박물관,064-739-5588
20186,세계술박물관,064-787-9500
20191,워터월드 해수사우나,064-739-1930
20193,이상한 나라의 앨리스 박물관,064-794-4700
20194,재밋섬,064-787-2258
20195,전쟁역사평화박물관,064-772-2500
20197,제주이야기,064-803-2011
20198,중문승마장,064-738-1942
20199,[제주 중문] 중문카트,064-738-8585
20200,짚라인 제주,1544-7991
20204,트로이테마농원 승마체험,064-792-8625
20259,철가방을 든 해녀,064-792-5262
20281,[경기 안산]별빛마을 빛축제 + 거울미로,031-484-5050
20374,[경북 경주]스쿠터 대여 스쿠터팡,010-7170-9138
20391,항공우주박물관,064-800-2000
20392,헬로키티 아일랜드,064-792-6114
20474,아쿠아플라넷 + 성산포유람선,064-723-1551
20476,아쿠아플라넷 + 얼라이브카트,064-723-1551
20479,아쿠아플라넷 + 산방산온천,064-723-1551
20538,[경북 경주] 한복대여 한복동이,010-7305-3337
20553,[서울 종로] 창덕궁&창경궁 한복대여 한복남,010-6485-8507
20575,아쿠아플라넷 + 허브동산 야간권,064-723-1551
20576,아쿠아플라넷 + 러브랜드,064-723-1551
20578,아쿠아플라넷 + 박물관은 살아있다,064-723-1551
20579,[제주] 아쿠아플라넷 + 다이나믹 메이즈,064-723-1551
20586,[서울 잠실] 석촌호수 전동휠렌탈샵 제이휠,070-4062-2406
20596,[제주]아쿠아플라넷 + 레일바이크,064-723-1551
20603,카멜리아힐 + 세계자동차제주박물관,064-723-1551
20605,카멜리아힐 + 레일바이크,064-723-1551
20614,카멜리아힐 + 산방산 탄산온천,064-723-1551
20616,카멜리아힐 + 허브동산 야간권,064-723-1551
20617,카멜리아힐 + 김녕미로공원,064-723-1551
20627,[전북 전주] 한옥마을패스권 + 말순이 한복대여,1599-8732
20628,[전북] 한옥마을패스권 + 한복길 한복대여,1599-8732
20655,허브동산 + 마라도잠수함,064-787-7362
20656,[제주] 허브동산 + 우도잠수함,064-787-7362
20657,허브동산 + 서귀포잠수함,064-787-7362
20658,허브동산 + 산방산온천,064-787-7362
20697,[경기 가평] 인터렉티브 아트 뮤지엄,070-8899-4251
20820,한림공원 + 카멜리아힐,064-723-1551
20821,한림공원 + 퍼시픽랜드,064-787-7362
20834,한림공원 + 점보빌리지 (공연+바나나먹이주기),064-787-7362
20835,한림공원 + 유리의 성 마법의 숲,064-787-7362
20836,한림공원 + 러브랜드,064-787-7362
20930,세리월드 승마,064-739-8254
20931,세리월드 카트레이싱,064-739-8254
20932,감귤박물관 입장권 + 감귤족욕체험,064-760-6398
20983,소인국 테마파크 특가!,064-794-5400
21018,[부산 남포] 심신프리 힐링카페,051-242-2232
21019,[인천 중구] 영종도 레일바이크,032-719-7778
21028,포레스트 판타지아,1899-0536
21111,여의도 한강유람선,02-722-4400
21130,[아산] ★아산스카이로드 : 짚라인왕복권,041-547-7882
21131,아산레일바이크,041-547-7882
21169,테우 배낚시,064-796-7535
21968,[전북 전주]한옥마을 한복대여 전주한복,010-6337-9091
21978,프리징 아일랜드,1599-8371
22000,[부산 동구] BUTI 시티 투어 버스,
23035,[전북 군산] 패러글라이딩 스쿨,063-451-9848
23038,[전북 전주] 전주한옥마을 한복대여 한복남,010-6424-1739
23096,[경북 울진] 한화리조트 백암온천 입장권,054-780-8718
23120,[전북 군산] 군산투어패스 : 군산 5대 관광지 자유이용권,1599-8732
23121,[전북 군산] 군산투어패스 + 테디베어 뮤지엄,1599-8732
23130,[부산 서면] 깜부 키즈카페,051-932-2200
23186,[강원 영월] 영월 패러글라이딩,033-972-1119
23187,[경북 상주] 활공랜드,054-535-0072
23192,웅진 플레이도시 디지털키즈카페 플랜디,032-721-3770
23203,[전북 부안] 부안투어패스  : 부안여행 자유이용권,1599-8732
23220,블루마린 체험 다이빙 & 펀다이빙,064-738-1712
23239,[서울 신림] 러브낚시카페 신림본점,02-883-2181
23276,[전남 여수] 서틀러 다육식물원 관람&체험권,061-686-5386
23838,[경북 경산]공룡박물관,053-857-0700
23865,[서울 여의도] 알파휠 여의도점,010-4616-3952<
23895,[전북 고창] 고창투어패스 : 4대 관광지 자유입장,
23918,[서울 여의도] 아이봇 피크닉,010-8770-3705
23973,[경기 일산] 강아지 테마파크,031-961-6450
24015,[제주 한경] 알프스 보석궁전 테마파크,064-773-3001
24020,[전북 완주] 완주투어패스,063-290-3842
24116,키자니아 테스트,1544-5110
24146,[경기 김포] 피싱파크 진산각,070-7835-6200
24147,[전북 전주] 한옥마을 호텔 MOMENT 708,063-277-8730
24166,스마트인피니 연동테스트,010-6255-3632
24168,[제주 서귀포] 세리월드 로맨틱메이즈 불빛공원,064-739-8254
24172,[경기 화성] 어섬 패러글라이딩,031-336-3830
24177,[경북 안동] 곤충파충류 체험전,054-823-1109
24189,[경기 일산] 아쿠아플라넷 종합권,031-960-8500
24191,[일산] 아쿠아플라넷 패키지 : ★ 임팩트 특가(7/23-7/29),031-960-8500
24197,[전북 진안] 진안투어패스,063-433-1666
24198,[전북 진안] 진안투어패스 + 홍삼스파 패키지,1599-8732
24206,[경기 부천]아인스월드 세계야경 판타지 빛축제,032-320-6000
24218,[제주 구좌] 워터서커스,064-782-7870
24219,전주 한옥마을 도란도란 카라반  : 성수기 ~8월 27일,010-2525-1099
24228,[서울 남산] 쎈토이 뮤지엄,
24255,러브낚시카페,02-6052-2181
24389,[서울 여의도] VR스크린사냥&사격장 슈팅버니,02-780-8831
24392,[전북 전주] 에어피닉스 패러글라이딩,010-3653-9996
24399,[서울 왕십리] 그레이트피그미풀 키즈카페,02-2200-1351
24402,홍대 한복남 한복대여,010-6485-8507
24403,[전남 여수] 한우드림 동물테마농장,010-6255-3632
24408,[제주 서귀포] 조안베어 뮤지엄,064-739-1024
24409,[제주 성산] 블루마운틴 커피박물관 체험,064-782-0428
24411,[서울 인사동] 박물관은살아있다,1544-8506
24413,[서울 종로] 인사동 완전정복 패키지 BIG4,1544-8506
24415,[서울 인사동] 놀이똥산 패키지,1544-8506
24464,[경기 파주] 헤이리 팝트릭아트 93뮤지엄,031-948-6677
24475,[서울 잠실] 불고기브라더스 잠실롯데월드점,02-2143-1266
24477,[전북 무주] 무주투어패스,1599-8732
24478,[전북 장수] 장수투어패스,1599-8732
24503,[제주 서귀포] 착한배낚시 주간체험,010-4170-2461
24504,[제주 한림] 라온 ZOO 동물원,064-795-8080
24555,[경기 포천] 산사원 : 전통주 갤러리,031-531-9300
24560,[전북 임실] 임실투어패스,063-643-0104
24561,[해운대] SEA LIFE 부산아쿠아리움 9월특가,051-740-1700
24589,[제주 조천] 캐릭파크,064-784-3500
24609,[서울 홍대] 포트링 : 도자기만들기 체험,02-830-4562
24640,[전북 전주] 한옥마을 왕발통 & 전동 바이크,070-4116-7655
24655,[충북 단양] 스카이 패러글라이딩,1522-2126
24659,[부산 김해]렛츠런파크 일루미아빛 테마파크,051-253-6666
24661,[전북 임실] 임실치즈테마파크 치즈체험 + 임실투어패스,063-643-2300
24664,[제주 조천] 숲속 바이크,064-784-3500
24666,[제주 서귀포] 피규어뮤지엄 제주,064-792-2244
27361,[부산 기장] 딸기가 좋아 동부산점,051-901-2854
27362,[경기 분당] 딸기가 좋아 분당점,031-786-1056
27363,[경기 고양] 딸기가 좋아 삼송점,02-381-8116
27364,딸기가 좋아 : 올림픽공원점,02-2203-2761
27365,[강원 원주] 딸기가 좋아 원주점,070-7717-4948
27366,[인천 부평] 딸기가 좋아 인천부평점,032-270-2200
27367,[인천 서구] 딸기가 좋아 인천청라점,032-565-1125
27368,[서울 왕십리] 딸기가 좋아 한양대점,02-6454-6226
27371,[대전 중구] 아쿠아리움 + 애니멀파크 패키지,042-226-2100
27375,[일산] 킨텍스 상상체험 키즈월드 시즌6 실내썰매,070-4801-4184
27381,[대전 서구] 하이주 동물키즈카페,042-482-0816
27382,[부산 해운대]하이주 실내동물원,051-746-7949
27383,[경기 부천] 실내 동물원 하이주,070-7767-0815
27392,[전북 남원] 남원투어패스,1599-8732
27403,[전남 여수] 엑스포 카트,
27413,[부산 수영] 광안리 커플라운지 이색카페,010-4391-1770
27414,[경기 화성] 하늘땅랜드 체험농장,010-8924-2209
27430,[제주] 스타렉스 12인승 (경유) 2010~11년형 : 자차보험 포함,
27434,[제주] 아반떼AD/i30/올뉴K3 (휘발유) 2016~2017년형 랜덤배정 : 자차보험 포함,
27450,[제주] 올뉴모닝 (휘발유) 2014년형 : 자차보험 포함,
27451,"[제주] 올 뉴카니발 9인승,11인승(금연/경유) 2014~17년형 (랜덤배정) : 자차보험 포함",
27454,남원투어패스 + 지리산허브밸리,063-636-4000
27483,[전북 장수] 장수투어패스 + 승마체험장,063-350-2579
27494,[서울 중구]시티투어버스,1544-4239
27495,[부산 동구] 시티투어 점보버스,051-923-9000
27496,경주 한복 나드리,010-5026-2490
27517,[경남 남해] 원예예술촌,055-867-4702
27527,[강원 강릉] 심신프리카페,010-3177-1723
27557,[전북] 익산투어패스,1599-8732
27627,[경기 부천] 아인스 토이바운스 팡팡 놀이터,032-320-6055
27631,[전북 익산] 교도소세트장 체험 + 익산투어패스,063-859-3836
27654,[전북 김제] 김제 투어패스,1599-8732
27788,[전북 순창] 순창투어패스,1599-8732
27906,[강원 속초] ★설악워터피아 대인 종일권 특가!,033-630-5800<
27907,[부산 해운대] ★ SEA LIFE BUSAN : 부산 아쿠아리움,051-740-1700
27962,[경북 경산] 팔공산 갓바위 워터피아 온천 이용권,053-852-8800
27971,담양리조트 온천이용권,061-380-5111
27973,경주 버드파크 이용권,054-777-7200
28008,[제주] K5 2011~13년형(LPG) 랜덤배정 : 자차보험 포함,
28009,[제주] 아반떼MD 2011~15년형(LPG/휘발유) 랜덤배정 : 자차보험 포함,
28010,[제주] ALL NEW K5 (금연/LPG) 랜덤배정 2018년형 : 자차보험 포함,
28011,[제주] LF소나타&NEW K5 2015~16년형(금연/LPG) 랜덤배정 : 자차보험 포함,064-749-6100
28012,[제주] 소형SUV 코나 2018년형 (금연/휘발유) : 자차보험 포함,
28022,[경남 진주] 진주랜드,055-746-4431
28057,[전남 여수] 아쿠아플라넷 입장권,061-660-1111
28064,[전남 여수] 여수 아쿠아플라넷 + 테디베어 패키지,061-660-1111
28070,[전남 여수] 여수 아쿠아플라넷 + 레일바이크 패키지,061-660-1111
28083,[서울 여의도] 아쿠아플라넷 63/63아트,02-780-6382
28084,[경기 일산] 아쿠아플라넷,031-960-8500
28085,[제주 성산] 아쿠아플라넷 이용권,1661-1063
28086,[전북 군산] 테디베어 박물관,054-742-7400
28087,[전북 정읍] 정읍투어패스,063-538-1357
28180,[서울 신도림] 코코몽 녹색놀이터,02-2111-5566
28196,[경기 화성] 하피랜드,1577 - 5752
28198,[전북 정읍] 정읍투어패스+시암아트센터,063-538-1357
28217,[충남 당진] 삽교호놀이동산 앵무새 체험관,041-360-6882
28218,[충남 당진] 삽교호 짚트랙,041-362-6200
28221,[충남 태안] 안면 카트체험장,041-675-1003
28222,[충남 홍성] 조류탐사과학관 + 4D영상체험,041-630-9696
28223,[충남 아산] 온양관광호텔 온천사우나 입장권,041-540-1508
28225,[경기 안산] 뛰뛰빵빵 어드벤처 NC백화점,1899-2255
28226,[경기 광명] 코코몽어드벤처 대형 실내 놀이터,02-2066-3578
28228,[서울 김포] 코코몽 녹색놀이터 김포공항점,1644-5178
28229,[인천 계양] 코코몽어드벤처 대형 실내 놀이터,032-556-1999
28260,[제주] 레이 2015년형(금연/휘발유) : 자차보험 포함,064-749-6100
28477,[경기 양평] 들꽃수목원,031-772-1800
28484,[제주 서귀포] ★금호리조트 제주아쿠아나,064-766-8000
28485,[제주 서귀포] 금호리조트 제주아쿠아나,064-766-8000
28492,[충남 아산] 아산스파비스 종일권,041-539-2000
28581,[서울 종로] 프리징아일랜드,02-6925-1042
28663,[고창/군산/부안] 고군부 투어패스 + 테디베어뮤지엄,1599-8732
28705,[임실/순창/남원] 임순남 투어패스 + 치즈테마파크,1599-8732
28746,[대구 동구] 미니멀동물원 이시아점,070-7796-2468
28749,[김제/군산/익산] 김군익투어패스+익산교도소세트장,1599-8732
28752,[강원 홍천] 휘바핀란드,1899-1663
28801,제주 아쿠아플라넷,064-780-0900
28946,[정읍/순창/임실] 정순실 투어패스 + 시암아트센터,1599-8732
29003,[진안/완주/전주] 진완전투어패스+홍삼스파 패키지,1599-8732
29039,아이스뮤지엄 & 3D착시아트,064-742-3700
29072,[전남 완도] 완도 청해포구 촬영장,061-555-4500
29117,[경기 여주] 주주팜,010-3308-7646
29179,[제주] 제주여행 자유이용권 BIG 2/3/4/5,064-723-1551
29182,해브나인 힐링스파,031-474-5555
29190,[제주] 아쿠아플라넷 BIG 2/3/5 자유이용권,064-723-1551
29233,[강원 강릉] 경포 아쿠아리움,033-645-7887
29248,[충남 천안] 상록리조트 놀이동산 패키지,041-560-9114
29249,[전북 고창] 고창투어패스 + 석정휴스파 패키지,063-560-7300
29268,[충남 태안] 태안투어패스 (구매 다음 날 이용 가능),041-675-3636
29279,[잠실새내/부천점] 스크린사격장 타겟존,02-417-4979
29281,[대전 유성]티놀자 애니멀파크,042-863-0055
29290,[경기 일산] 실내동물원 와우쥬,031-816-5076
29293,[제주 제주시] 바이크트립 자전거 렌탈패키지,064-744-5990
29294,[강원 속초] 얼라이브하트 + 다이나믹 메이즈 에피소드2,033-633-2004
29307,[서울 중구] 명동 실탄사격장,02-777-6604
29380,얼라이브하트 + 다이나믹 메이즈 에피소드2,033-633-2004
29381,[경기 성남] 몬스터타운,031-756-7759
29386,[충북 충주] 수안 보온천랜드 입장권,043-855-8400
29396,[충남 천안] 실내동물원 테마파크 쥬쥬피아,041-417 -7781
29397,[경기 양주] 양주 애니멀카페 실내동물원,031-859-6619
29409,[서울 강동]더쥬 실내동물원,02-470-2003
29423,[충북] 힐링투어패스,043-421-0015
29438,[경기 남양주] 남양주 플레이주 : 실내동물원,031-577-4634
29486,숲속 한방랜드 입장권,1661-3913
29488,[서울 용산] 드래곤 힐스파 이용권,02-792-0001
29533,[부산] 앙코르 벡스코 상상체험 + 레이싱 키즈월드,070-4801-6034
29546,[강원 정선] 삼탄아트마인,033-591-3001
29552,[경기 수원] 실내동물원 쥬몽,031-205-2991
29556,[안성] 팜랜드 패키지,031-8053-7979
29591,[전북 군산] 선유스카이 선라인,063-463-8602
29594,[경기 여주] 썬밸리 워터파크 종일권,031-880-3871
29656,[강원 춘천] 제이드가든,031-701-6921
29668,[경북 울진] 덕구온천 스파월드 입장권,054-782-0677
29719,[전북 전주]물고기마을,063-213-8400
29773,[충남 당진] 삽교호 함상공원 패키지,041-360-6882
29818,[경북 경주] 뽀로로 아쿠아빌리지 준성수기 시즌,1588-2299
29819,[강원 속초] 설악워터피아 로우시즌 종일권,054-777-8300
29826,[경남 김해] 가야랜드 봄 체험 놀이터,055-346-6000
29867,[대구] 무민 원화전,053-744-5400
29868,[경기 용인] 캠스토리 봄 체험 놀이터,031-274-6527
29870,[전남 화순] 금호리조트 아쿠아나 비수기,061-372-8000
29872,[전북 전주] 한옥마을 나라한복 한복대여,010-6337-9091
29875,[충남 금산] 한방스파 테라피 이용권 &호텔 패키지,041-750-1000
29895,[강원 영월] 동강시스타 힐링스파,033-905-2000
29916,[전남 순천] 순천만국가정원 스카이큐브 탑승권,061-740-0600
29917,[경기 과천] 서울랜드 After12 자유이용권,02-509-6000
29919,[경기 과천] 서울랜드 BIG5+서울 동물원,02-509-6000
29922,[경기 이천] 스파플러스,
29923,[대구] 엘리바덴 신월성점,053-288-5000
29928,[대구] 대구 온천 엘리바덴 : 상인점,053-644-7000
29933,[이천/여주] 남한강 썬밸리호텔+별빛정원 우주,02-3660-3007
29941,[전북 전주] 전주 한옥마을 의식주 투어패스,
29944,[충남 아산] 피나클랜드,041-534-2580
29951,[전북]전북투어패스 1일권 + 군산 선유스카이 선라인 (짚라인),063-463-8602
30002,[전북 고창] 석정휴스파,063-560-7500
30005,[부산] 삼정 더 파크 : 도심 속 사파리,051-811-8800
30006,[경북 청도] 용암온천 웰빙스파 이용권,054-371-5500
30008,[경주] 스파럭스 : 럭셔리 스파&찜질,054-624-3388
30044,[경기 양평] 오르다온 송백수목원,031-772-6390
30045,[충남 당진] 월드아트서커스,041-362-0000
30047,[경기 용인] 한국패러글라이딩 학교,031-322-2676
30048,[서울/경기/부산/대전/강남] VR 존 5개지점 : 가로수길점/일산웨돔점/부산엘큐브광복점/대전점/강남점,02-545-3394
30069,[태백] 365세이프 타운 자유이용권,033-550-3101
30070,[강원 삼척] 강원종합박물관 입장권,033-541-1523
30071,[경북 경주] 키덜트 뮤지엄,054-744-7997
30072,[속초] 척산온천 휴양촌 이용권,033-636-4000
30075,척산온천 휴양촌 이용권,033-636-4000
30080,[경북 경주] 토이빌리지 테마파크,054-772-9000
30091,[서울 동대문] 판타 키즈vr,02-6388-1300
30155,[강원 인제] 인제 짚트랙,033-462-0701
30163,[충남 천안] 상록 리조트 놀이동산 주말이용권,041-560-9114
30168,[충남 청양] 청양 고운식물원,041-943-6245
30205,[강원 춘천] 춘천 물레길 카누 + 집라인,070-4150-9463
30207,[부산 해운대] 캐치웨이브,0505-252-2555
30262,[서울 용산] 곤충파충류 체험전,02-2231-2105
30290,[제주 중문] 그랑블루요트,
30330,[서울 을지로] 그레뱅뮤지엄 입장권 패키지,02-777-4700
30332,[경기 가평] 가평레져벨리카트장,031-585-6070
30335,[한일고속 훼리] 완도→추자 승선권,
30339,[여수/제주] 한일고속훼리 : 여수↔제주 승선권,02-535-2106
30341,[경기 양평] 두메향기,031-774-3114
30343,[한일고속 훼리] 완도↔제주 승선권,
30344,[서울 동대문] 판타 VR 테마파크 + 풀잎채 무료이용권,02-1670-9525
30372,[서울 여의도] 다타텐트,02-6124-4121
30373,[전주] 한옥숙박 체험관,063-285-3800
30374,[강원 정선] 하이원 리조트 관광 곤돌라 탑승권,033-590-7918
30375,[경기 이천] 별빛정원 우주,031-645-0002
30379,[전남 여수] 레일바이크,061-652-7882
30380,[인천 송도] 도심형 테마파크 몬스터 VR,032-310-9576
30382,[서울 왕십리] V-PLEX 통합패키지 4월,02-1577-6401
30384,[부산] 키자니아 어린이 체험테마파크,1544-5110
30385,[대전 중구] 대전 아쿠아리움 입장권,042-226-2100
30386,[강원 홍천] 알파카월드,1899-2250
30388,[충북 충주] 한화리조트 수안보 온천 입장권,043-846-8211
30389,[경기 안양] 엔젤하우스 : 베이비 카페 + 수영,031-421-8983
30408,[여수] 디오션리조트 사우나,1588-0377
30412,[충남 천안] 쥬쥬피아,041-417 -7781
30416,[전남 여수] 엑스포 스카이플라이 왕복권,061-666-2626
30418,[전남 여수] 엑스포 카트,
30419,[전남 여수] 해상케이블카,061-664-7301
30420,[서울 삼성] 코엑스 아쿠아리움 4월,02-700-7200
30430,[충북 제천] 제천 짚트랙 + 산악체험,043-646-8785
30432,[제주 조천] 에코랜드,064-802-8020
30437,[전북 부안] 원숭이학교 + 부안투어패스,063-584-0708
30447,[경북 청도] 청도프로방스 주간권 패키지,
30448,[경북 청도] 프로방스 빛축제 짚라인패키지,054-372-5050
30452,[전북 무주] 덕유산 관광곤돌라 왕복권 + 무주투어패스 패키지,063-320-7187
30453,[과천] 서울대공원 리프트 + 서울동물원 + 과학관 입장권 패키지,02-500-7335
30455,[경기 양평] 양떼목장,031-774-4512
30457,[경주] 블루원 워터파크,1899-1888
30458,[경남 통영] 히어로스튜디오 통통 체험 테마파크,055-643-0007
30460,[경북 경주] 프로방스빛축제,1899-1165
30463,[경북 경주] 힐링테마파크,1899-1165
30465,[경북 울진] 덕구온천 리조트 대온천장,054-782-0677
30468,[서울 잠실] 롯데월드 자유이용권,1661-2000
30474,[서울 잠실] 롯데월드 패밀리 자유이용권,1661-2000
30475,[서울 잠실] 롯데월드 자유이용권 + TGIF 식사 패키지,1661-2000
30476,[서울 잠실] 롯데월드 자유이용권 + 햄버거,1661-2000
30477,[서울 잠실] 롯데월드 자유이용권 + VR 체험,1661-2000
30481,[잠실] 롯데월드 자유이용권+샤롯데 블라썸 패키지,1661-2000
30486,[부산 중구] 트릭아이 미술관 입장권,051-557-1577
30487,[전북 전주] 한옥 레일바이크,063-273-7788
30491,[전남 광양] 와인동굴,061-794-7788
30510,코코몽 키즈랜드 강서점,02-2667-9812
30512,코코몽 키즈랜드 광주역점,062-510-7760
30515,코코몽 키즈랜드 대전 중앙로점,042-718-2445
30518,코코몽 키즈랜드 동아수성점,053-780-1977
30519,코코몽 키즈랜드 부산대점,051-509-7391
30528,코코몽 키즈랜드 부천 뉴코아점,032-624-8051
30530,코코몽 키즈랜드 송파점,02-2157-5718
30535,코코몽 키즈랜드 수원터미널점,031-8065-3682
